#,Set,Set,Name,Team,Pts,Year,OB/C,Sp/IP,Pos,Pos1,Pos2,Arm,Icon,PU,SO,GB,FB,BB,1B,1B+,2B,3B,HR
29,ASG,ASG,Adam Dunn,Reds,470,2002,12,15,LF-RF+1,LF-RF+1,,L,,-,6-Jan,-,7-,11-Aug,16-Dec,-,14-18,-,19+
30,ASG,ASG,Eric Gagne,Dodgers,200,2002,3,1,Closer,Closer,,R,,-,2-Jan,8-Mar,13-Sep,14-18,19-,20-,-,21-,-
31,ASG,ASG,Luis Gonzalez,Diamondbacks,630,2002,12,14,LF-RF+1,LF-RF+1,,L,,1-,3-Feb,5-Apr,10-Jun,14-Nov,-,15-17,-,18+,21+
32,ASG,ASG,Shawn Green,Dodgers,500,2002,11,18,LF-RF+1,LF-RF+1,,L,,-,3-Jan,5-Apr,6-,10-Jul,14-Nov,15-,16-,-,17+
33,ASG,ASG,Vladimir Guerrero,Expos,450,2002,11,18,LF-RF+1,LF-RF+1,,R,,-,1-,5-Feb,7-Jun,10-Aug,13-Nov,14-,15-17,-,18+
34,ASG,ASG,Todd Helton,Rockies,660,2002,13,14,1B+1,1B+1,,R,,-,3-Jan,4-,6-May,11-Jul,14-Dec,15-,16-17,18-,19+
35,ASG,ASG,Jose Hernandez,Brewers,320,2002,10,14,SS+2,SS+2,,R,,6-Jan,-,-,9-Jul,15-Oct,-,16-17,-,18+,27+
36,ASG,ASG,Andruw Jones,Braves,340,2002,10,16,CF+3 LF-RF+2,CF+3 ,LF-RF+2,L,,-,4-Jan,5-,6-,10-Jul,15-Nov,16-,17-,-,18+
37,ASG,ASG,Mike Lowell,Marlins,290,2002,11,10,3B+2,3B+2,,R,,1-,2-,6-Mar,9-Jul,15-Oct,-,16-19,-,20+,21+
38,ASG,ASG,Robb Nen,Giants,280,2002,4,1,Closer,Closer,,R,,3-Jan,10-Apr,15-Nov,16-18,19-,20-25,-,-,-,21+
39,ASG,ASG,Vicente Padilla,Phillies,390,2002,4,7,Starter,Starter,,R,,-,2-Jan,6-Mar,15-Jul,16-,-,17-19,-,20-25,-
40,ASG,ASG,Odalis Perez,Dodgers,330,2002,4,7,Starter,Starter,,L,,-,3-Jan,8-Apr,13-Sep,14-16,17-,18-20,-,21-,-
41,ASG,ASG,Mike Piazza,Mets,230,2002,10,9,C+2,C+2,,R,,2-Jan,4-Mar,7-May,9-Aug,15-Oct,-,16-17,-,18+,27+
42,ASG,ASG,Scott Rolen,Phillies,350,2002,11,15,3B+3,3B+3,,R,,-,4-Jan,-,7-May,11-Aug,15-Dec,16-,17-18,-,19+
43,ASG,ASG,Jimmy Rollins,Phillies,220,2002,9,23,SS+2,SS+2,,S,,-,3-Jan,5-Apr,7-Jun,9-Aug,15-Oct,16-17,18-19,20-21,22+
44,ASG,ASG,Benito Santiago,Giants,210,2002,9,15,C+6,C+6,,R,,-,1-,4-Feb,5-,6-,16-Jul,-,17-19,20-23,24+
45,ASG,ASG,Curt Schilling,Diamondbacks,640,2002,5,7,Starter,Starter,,R,,2-Jan,10-Mar,14-Nov,15-18,-,19-,-,20-,-,24+
46,ASG,ASG,John Smoltz,Braves,260,2002,4,1,Closer,Closer,,R,,2-Jan,8-Mar,14-Sep,15-18,-,19-,-,20-22,-,21+
47,ASG,ASG,Sammy Sosa,Cubs,660,2002,12,13,LF-RF+1,LF-RF+1,,R,,-,3-Jan,-,5-Apr,11-Jun,14-Dec,-,15-16,-,17+
48,ASG,ASG,Junior Spivey,Diamondbacks,330,2002,11,16,2B+0,2B+0,,R,,3-Jan,5-Apr,6-,9-Jul,14-Oct,15-16,17-18,19-,20+,27+
49,ASG,ASG,Jose Vidro,Expos,290,2002,10,14,2B+1,2B+1,,S,,2-Jan,4-Mar,6-May,8-Jul,16-Sep,-,17-19,-,20+,21+
50,ASG,ASG,Mike Williams,Pirates,200,2002,3,1,Closer,Closer,,R,,4-Jan,9-May,13-Oct,14-18,19-,-,-,20-,-,23+
1,PR,PR,J.C. Romero,Twins,380,2002,4,6,Starter,Starter,,L,,3-Jan,10-Apr,15-Nov,16-17,18-26,-,-,-,-,21+
2,PR,PR,Robb Nen,Giants,250,2002,4,1,Closer,Closer,,R,,3-Jan,10-Apr,15-Nov,16-18,-,19-25,-,-,-,21+
3,PR,PR,Raul Mondesi,Blue Jays,240,2002,10,19,LF-RF+1,LF-RF+1,,R,,-,3-Jan,4-,6-May,12-Jul,13-16,-,17-,-,18+
4,PR,PR,Mike Piazza,Mets,200,2002,10,9,C+2,C+2,,R,,-,2-Jan,4-Mar,7-May,9-Aug,15-Oct,-,16-17,-,18+
5,PR,PR,Scott Rolen,Phillies,350,2002,11,15,3B+3,3B+3,,R,,4-Jan,5-,7-Jun,12-Aug,13-15,16-,17-18,-,19+,27+
6,PR,PR,Shigetoshi Hasegawa,Mariners,140,2002,5,1,Reliever,Reliever,,R,,-,3-Jan,7-Apr,12-Aug,13-16,17-,18-19,-,20-25,-
7,PR,PR,Shannon Stewart,Blue Jays,230,2002,11,19,CF+0,CF+0,,R,,-,-,4-Jan,6-May,9-Jul,16-Oct,17-,18-20,21-,22+
8,PR,PR,DAVID ECKSTIEN,Angels,310,2002,11,20,SS+3,SS+3,,R,,-,1-,5-Feb,6-,11-Jul,17-Dec,18-,19-24,25-,26+
9,PR,PR,Melvin Mora,Orioles,190,2002,10,14,LF-RF+1 SS+4,LF-RF+1 ,SS+4,R,,3-Jan,-,7-Apr,12-Aug,13-17,18-,19-22,-,23+,24+
10,PR,PR,Jose Rijo,Reds,290,2002,4,6,Starter,Starter,,R,,2-Jan,6-Mar,14-Jul,15-17,18-,19-26,-,-,-,21+
11,PR,PR,Einar Diaz,Indians,80,2002,9,12,C+8,C+8,,R,,-,1-,5-Feb,7-Jun,10-Aug,17-Nov,-,18-23,-,24+
12,PR,PR,A.J. Burnett,Marlins,350,2002,4,6,Starter,Starter,,R,,7-Apr,11-Aug,16-Dec,17-18,19-23,-,-,-,24+,27+
13,PR,PR,Mike Sweeney,Royals,170,2002,9,14,1B+0,1B+0,,R,,1-,3-Feb,6-Apr,9-Jul,15-Oct,-,16-19,-,20+,21+
14,PR,PR,JORGE POSADA,Yankees,350,2002,12,12,C+6,C+6,,S,,3-Jan,4-,6-May,11-Jul,15-Dec,-,16-18,-,19+,23+
15,PR,PR,Mark Kotsay,Giants,250,2002,10,16,CF+2 LF-RF+1,CF+2 ,LF-RF+1,L,,-,1-,3-Feb,6-Apr,10-Jul,15-Nov,16-,17-19,-,20+
16,PR,PR,Doug Davis,Rangers,230,2002,1,6,Starter,Starter,,L,,-,5-Jan,9-Jun,15-Oct,16-18,19-,20-22,-,-,-
17,PR,PR,Steve Woodard,Rangers,70,2002,4,2,Reliever,Reliever,,R,,2-Jan,5-Mar,11-Jun,15-Dec,-,16-19,-,20-24,-,27+
18,PR,PR,Sun Woo Kim,Red Sox,20,2002,3,2,Reliever,Reliever,,R,,-,4-Jan,7-May,12-Aug,13-15,16-,17-19,-,20-27,-
19,PR,PR,Sean Casey,Reds,210,2002,11,12,1B+0,1B+0,,L,,-,-,5-Jan,6-,8-Jul,16-Sep,17-,18-19,-,20+
20,PR,PR,Juan Acevedo,Tigers,100,2002,4,1,Reliever,Reliever,,R,,2-Jan,9-Mar,13-Oct,14-16,17-,18-24,-,-,-,21+
21,PR,PR,Dustan Mohr,Twins,190,2002,10,11,OF+1,OF+1,,R,,-,2-Jan,-,6-Mar,9-Jul,16-Oct,-,17-18,-,19+
22,PR,PR,Mariano Rivera,Yankees,310,2002,5,1,Closer,Closer,,R,,-,2-Jan,9-Mar,14-Oct,15-18,19-,20-25,-,-,-
23,PR,PR,Kip Wells,Pirates,210,2002,2,6,Starter,Starter,,R,,-,3-Jan,7-Apr,15-Aug,16-17,18-,19-,-,20-24,-
24,PR,PR,Kenny Lofton,White Sox,340,2002,12,20,CF+1 LF-RF+0,CF+1 ,LF-RF+0,L,,1-,3-Feb,7-Apr,11-Aug,16-Dec,17-,18-,19-,20+,27+
25,PR,PR,Steve Cox,Devil Rays,170,2002,10,10,1B+0,1B+0,,L,,-,4-Jan,6-May,7-,11-Aug,16-Dec,-,17-,-,18+
26,PR,PR,Josh Fogg,Pirates,320,2002,3,7,Starter,Starter,,R,,3-Jan,7-Apr,12-Aug,13-17,18-,19-20,-,-,-,21+
27,PR,PR,Ruben Sierra,Mariners,310,2002,11,13,LF-RF+1,LF-RF+1,,S,,2-Jan,4-Mar,7-May,8-,14-Sep,-,15-17,-,18+,21+
28,PR,PR,Sandy Alomar Jr.,White Sox,40,2002,8,13,C+6,C+6,,R,,-,1-,5-Feb,6-,8-Jul,18-Sep,-,19-,-,20+
29,PR,PR,Vicente Padilla,Phillies,510,2002,5,7,Starter,Starter,,R,,-,2-Jan,6-Mar,15-Jul,16-,-,17-19,-,20-26,-
30,PR,PR,Carlos Beltran,Royals,300,2002,9,21,CF+3,CF+3,,S,,3-Jan,4-,6-May,9-Jul,14-Oct,15-16,17-18,19-,20+,27+
31,PR,PR,Mike Lowell,Marlins,260,2002,11,11,3B+2,3B+2,,R,,-,1-,2-,6-Mar,9-Jul,15-Oct,-,16-19,-,20+
32,PR,PR,Omar Vizquel,Indians,310,2002,11,19,SS+4,SS+4,,S,,-,1-,5-Feb,7-Jun,11-Aug,15-Dec,16-,17-,18-21,22+
33,PR,PR,Ricky Stone,Astros,70,2002,2,1,Reliever,Reliever,,R,,-,3-Jan,6-Apr,14-Sep,15-17,18-23,-,-,-,-
34,PR,PR,Geoff Jenkins,Brewers,80,2002,8,14,LF-RF+2,LF-RF+2,,L,,6-Jan,-,7-,10-Aug,16-Nov,-,17-18,-,19+,24+
35,PR,PR,Eric Karros,Dodgers,140,2002,9,11,1B+1,1B+1,,R,,3-Jan,6-Apr,7-,10-Aug,16-Nov,-,17-18,-,19+,21+
36,PR,PR,Ryan Drese,Indians,110,2002,3,2,Reliever,Reliever,,R,,-,3-Jan,7-Apr,16-Aug,17-,18-,19-,-,20-27,-
37,PR,PR,Adam Dunn,Reds,440,2002,11,15,LF-RF+1,LF-RF+1,,L,,6-Jan,-,7-,11-Aug,14-Dec,-,15-18,-,19+,27+
38,PR,PR,Hank Blalock,Rangers,40,2002,9,14,3B+0,3B+0,,L,,6-Jan,7-,-,12-Aug,13-16,-,17-19,-,20+,21+
39,PR,PR,Marcus Giles,Braves,150,2002,10,12,2B+2,2B+2,,R,,2-Jan,4-Mar,6-May,11-Jul,17-Dec,-,18-20,-,21+,23+
40,PR,PR,Joe Randa,Royals,200,2002,10,13,3B+1,3B+1,,R,,-,2-Jan,4-Mar,6-May,10-Jul,16-Nov,-,17-19,-,20+
41,PR,PR,Bob Wickman,Indians,210,2002,4,1,Closer,Closer,,R,,-,2-Jan,8-Mar,15-Sep,16-17,-,18-27,-,-,-
42,PR,PR,Roy Halladay,Blue Jays,560,2002,5,7,Starter,Starter,,R,,2-Jan,6-Mar,15-Jul,16-17,-,18-19,-,20-26,-,27+
43,PR,PR,Craig Counsell,Diamondbacks,200,2002,10,17,2B+5,2B+5,,L,,-,3-Jan,5-Apr,7-Jun,11-Aug,20-Dec,-,21-23,-,24+
44,PR,PR,Derek Lowe,Red Sox,460,2002,4,7,Starter,Starter,,R,,-,4-Jan,10-May,15-Nov,16-19,-,20-25,-,-,-
45,PR,PR,Ray Durham,White Sox,350,2002,10,20,2B+3,2B+3,,S,,1-,3-Feb,6-Apr,10-Jul,14-Nov,15-,16-18,19-,20+,21+
46,PR,PR,Paul Shuey,Indians,160,2002,5,1,Reliever,Reliever,,R,,-,1-,10-Feb,15-Nov,16-17,-,18-19,-,20-26,-
47,PR,PR,Cliff Floyd,Marlins,520,2002,13,18,LF-RF+1,LF-RF+1,,L,,-,4-Jan,5-,7-Jun,9-Aug,14-Oct,15-,16-17,-,18+
48,PR,PR,Shawn Green,Dodgers,400,2002,11,18,LF-RF+1,LF-RF+1,,L,,-,3-Jan,5-Apr,6-,10-Jul,14-Nov,15-,16-17,-,18+
49,PR,PR,Torii Hunter,Twins,310,2002,10,17,CF+3 LF-RF+2,CF+3 ,LF-RF+2,R,,4-Jan,5-,7-Jun,9-Aug,15-Oct,-,16-17,-,18+,27+
50,PR,PR,Edgardo Alfonzo,Mets,360,2002,12,14,3B+2,3B+2,,R,,-,1-,2-,6-Mar,12-Jul,13-17,-,18-19,-,20+
51,PR,PR,Carlos Pena,Athletics,310,2002,9,16,1B+1,1B+1,,L,,4-Jan,6-May,7-,12-Aug,13-16,-,17-18,-,19+,21+
52,PR,PR,Sean Burroughs,Padres,70,2002,8,16,3B+1,3B+1,,L,,4-Jan,5-,7-Jun,10-Aug,16-Nov,17-,18-19,-,20+,21+
53,PR,PR,Placido Polanco,Cardinals,210,2002,10,18,2B+1 3B+3,2B+1 ,3B+3,R,,-,-,5-Jan,6-,7-,17-Aug,18-,19-25,-,26+
54,PR,PR,Rafael Palmeiro,Rangers,300,2002,12,10,1B+0,1B+0,,L,,-,2-Jan,3-,7-Apr,13-Aug,14-16,-,17-,-,18+
55,PR,PR,Nate Cornejo,Tigers,10,2002,1,5,Starter,Starter,,R,,4-Jan,6-May,13-Jul,14-15,16-17,18-19,-,-,-,27+
56,PR,PR,Tim Salmon,Angels,120,2002,10,14,LF-RF+1,LF-RF+1,,R,,-,3-Jan,4-,6-May,14-Jul,15-18,-,19-,-,20+
57,PR,PR,Craig Biggio,Astros,90,2002,10,14,2B+2,2B+2,,R,,-,4-Jan,5-,7-Jun,11-Aug,16-Dec,17-,18-19,-,20+
58,PR,PR,Eric Hinske,Blue Jays,380,2002,11,16,3B+1,3B+1,,L,,-,4-Jan,5-,6-,10-Jul,14-Nov,15-,16-18,-,19+
59,PR,PR,Rickey Henderson,Red Sox,160,2002,10,18,LF-RF+0,LF-RF+0,,R,,2-Jan,4-Mar,6-May,14-Jul,15-16,18-,19-,-,20+,24+
60,PR,PR,Nick Johnson,Yankees,70,2002,10,8,1B+0,1B+0,,L,,5-Jan,6-,7-,14-Aug,15-18,-,19-,-,20+,21+
61,PR,PR,Rey Ordonez,Mets,110,2002,8,14,SS+4,SS+4,,R,,-,-,6-Jan,7-,-,17-Aug,-,18-19,20-25,26+
62,PR,PR,Jose Hernandez,Brewers,300,2002,10,14,SS+3,SS+3,,R,,6-Jan,-,-,9-Jul,15-Oct,-,16-17,-,18+,27+
63,PR,PR,Antonio Alfonseca,Cubs,130,2002,3,1,Closer,Closer,,R,,2-Jan,6-Mar,14-Jul,15-17,18-19,20-24,-,-,-,21+
64,PR,PR,Alfonso Soriano,Yankees,340,2002,10,18,2B+1,2B+1,,R,,3-Jan,4-,6-May,7-,13-Aug,14-16,17-18,19-,20+,23+
65,PR,PR,Eric Chavez,Athletics,360,2002,11,14,3B+2,3B+2,,L,,-,3-Jan,5-Apr,6-,10-Jul,14-Nov,-,15-18,-,19+
66,PR,PR,B.J. Surhoff,Braves,210,2002,9,15,LF-RF+0,LF-RF+0,,L,,-,1-,3-Feb,6-Apr,8-Jul,14-Sep,15-,16-19,-,20+
67,PR,PR,Austin Kearns,Reds,460,2002,12,14,LF-RF+1,LF-RF+1,,R,,3-Jan,5-Apr,6-,11-Jul,16-Dec,14-,18-19,-,20+,27+
68,PR,PR,Jacob Cruz,Tigers,170,2002,10,16,CF+1,CF+1,,L,,-,2-Jan,5-Mar,7-Jun,11-Aug,16-Dec,17-,18-19,20-,21+
69,PR,PR,Armando Benitez,Mets,110,2002,2,1,Closer,Closer,,R,,-,2-Jan,11-Mar,14-Dec,15-19,-,20-,-,-,-
70,PR,PR,Derek Jeter,Yankees,330,2002,12,19,SS+0,SS+0,,R,,2-Jan,5-Mar,7-Jun,13-Aug,14-16,17-,18-,19-,20+,21+
71,PR,PR,Ryan Jensen,Giants,10,2002,2,6,Starter,Starter,,R,,-,3-Jan,5-Apr,11-Jun,15-Dec,16-18,19-23,-,-,-
72,PR,PR,Kevin Mench,Rangers,30,2002,8,14,LF-RF+1,LF-RF+1,,R,,-,2-Jan,4-Mar,6-May,11-Jul,18-Dec,-,19-,-,20+
73,PR,PR,Mike Remlinger,Braves,160,2002,3,1,Reliever,Reliever,,L,,-,4-Jan,10-May,16-Nov,17-18,19-,20-25,-,-,-
74,PR,PR,Luis Castillo,Marlins,300,2002,10,21,2B+2,2B+2,,S,,3-Jan,5-Apr,6-,10-Jul,16-Nov,17-19,-,20-24,25+,27+
75,PR,PR,Kazuhisa Ishii,Dodgers,380,2002,4,6,Starter,Starter,,L,,-,3-Jan,10-Apr,15-Nov,16-17,18-26,-,-,-,-
76,PR,PR,Bobby Abreu,Phillies,450,2002,11,18,LF-RF+1,LF-RF+1,,L,,3-Jan,4-,6-May,12-Jul,13-14,15-,16-19,-,20+,21+
77,PR,PR,Dave Veres,Cardinals,70,2002,3,1,Reliever,Reliever,,R,,3-Jan,9-Apr,14-Oct,15-16,17-20,-,-,-,-,21+
78,PR,PR,Tony Batista,Orioles,230,2002,9,17,3B+1,3B+1,,R,,-,2-Jan,3-,6-Apr,8-Jul,14-Sep,-,15-17,-,18+
79,PR,PR,Rey Sanchez,Red Sox,200,2002,10,12,2B+0,2B+0,,R,,-,1-,5-Feb,7-Jun,10-Aug,17-Nov,-,18-,19-22,23+
80,PR,PR,Jason Grimsley,Royals,160,2002,2,1,Reliever,Reliever,,R,,2-Jan,7-Mar,17-Aug,18-19,-,20-25,-,-,-,27+
81,PR,PR,AL Leiter,Mets,450,2002,2,6,Starter,Starter,,L,,-,5-Jan,10-Jun,16-Nov,17-19,-,20-25,-,-,-
82,PR,PR,Kerry Wood,Cubs,480,2002,5,6,Starter,Starter,,R,,-,2-Jan,10-Mar,13-Nov,14-15,16-19,20-22,-,-,-
83,PR,PR,Ellis Burks,Indians,190,2002,11,14,DH,DH,,R,,-,3-Jan,5-Apr,7-Jun,12-Aug,13-18,-,19-,-,20+
84,PR,PR,Corey Patterson,Cubs,80,2002,8,20,CF+1 LF-RF+0,CF+1 ,LF-RF+0,L,,3-Jan,6-Apr,7-,10-Aug,16-Nov,17-,18-20,-,21+,24+
85,PR,PR,Adrian Beltre,Dodgers,190,2002,9,18,3B+1,3B+1,,R,,1-,4-Feb,6-May,9-Jul,14-Oct,15-16,17-18,19-,20+,21+
86,PR,PR,Barry Zito,Athletics,510,2002,4,6,Starter,Starter,,L,,-,3-Jan,9-Apr,13-Oct,14-17,-,18-23,-,-,-
87,PR,PR,Doug Mientkiewicz,Twins,160,2002,11,10,1B+0,1B+0,,L,,3-Jan,5-Apr,7-Jun,12-Aug,13-17,-,18-19,-,20+,27+
88,PR,PR,Jeffrey Hammonds,Brewers,180,2002,10,14,LF-RF+1,LF-RF+1,,R,,4-Jan,6-May,7-,12-Aug,13-16,-,17-19,-,20+,21+
89,PR,PR,Jeremy Giambi,Phillies,280,2002,12,10,LF-RF+0,LF-RF+0,,L,,4-Jan,5-,6-,12-Jul,13-16,-,17-18,-,19+,23+
90,PR,PR,Tsuyoshi Shinjo,Giants,80,2002,8,11,CF+1,CF+1,,R,,-,2-Jan,5-Mar,7-Jun,12-Aug,13-17,-,18-,19-,20+
91,SS,SS,Roger Clemens '86,Red Sox,430,2002,4,7,Starter,Starter,,R,,-,3-Jan,10-Apr,14-Nov,15-17,18-,19-23,-,-,-
92,SS,SS,John Franco '88,Reds,280,2002,5,1,Closer,Closer,,L,,2-Jan,6-Mar,14-Jul,15-17,18-,19-26,-,-,-,27+
93,SS,SS,Alex Rodriguez '96,Mariners,620,2002,13,17,SS+4,SS+4,,R,,-,4-Jan,5-,6-,11-Jul,14-Dec,15-,16-17,18-,19+
94,SS,SS,Barry Bonds '90,Pirates,680,2002,13,21,LF-RF+3,LF-RF+3,,L,,-,3-Jan,5-Apr,6-,12-Jul,13-14,15-,16-17,-,18+
95,SS,SS,Fred McGriff '92,Padres,340,2002,12,14,1B+0,1B+0,,L,,5-Jan,6-,7-,13-Aug,14-15,-,16-17,-,18+,21+
96,SS,SS,Chuck Finley '90,Angels,550,2002,5,7,Starter,Starter,,L,,-,3-Jan,8-Apr,13-Sep,14-16,17-,18-19,-,20-24,-
97,SS,SS,Jose Rijo '90,Reds,550,2002,3,6,Starter,Starter,,R,,-,2-Jan,8-Mar,13-Sep,14-18,19-,20-26,-,-,-
98,SS,SS,Jeff Bagwell '94,Astros,800,2002,14,12,1B+1,1B+1,,R,,-,3-Jan,4-,6-May,13-Jul,14-,-,15-16,-,17+
99,SS,SS,Ron Gant '93,Braves,550,2002,12,21,LF-RF+1,LF-RF+1,,R,,5-Jan,6-,7-,12-Aug,13-15,-,16-18,19-,20+,27+
100,SS,SS,Tom Glavine '91,Braves,490,2002,2,7,Starter,Starter,,L,,-,4-Jan,10-May,15-Nov,16-19,-,20-25,-,-,-
101,SS,SS,Mike Mussina '92,Orioles,550,2002,5,7,Starter,Starter,,R,,2-Jan,5-Mar,10-Jun,16-Nov,-,17-19,-,20-26,-,21+
102,SS,SS,Gary Sheffield '96,Marlins,640,2002,14,15,LF-RF+1,LF-RF+1,,R,,2-Jan,3-,6-Apr,13-Jul,14-15,-,16-17,-,18+,21+
103,SS,SS,Barry Larkin '95,Reds,490,2002,13,20,SS+6,SS+6,,R,,-,2-Jan,5-Mar,7-Jun,11-Aug,14-Dec,15-16,17-18,19-,20+
104,SS,SS,Jim Thome '96,Indians,530,2002,14,12,1B+1,1B+1,,L,,-,5-Jan,6-,7-,13-Aug,14-,-,15-17,-,18+
105,SS,SS,Chipper Jones '98,Braves,500,2002,13,15,3B+2,3B+2,,S,,3-Jan,5-Apr,6-,12-Jul,13-14,15-,16-17,18-,19+,27+
106,SS,SS,Rickey Henderson '90,Athletics,670,2002,14,26,LF-RF+2,LF-RF+2,,R,,-,1-,4-Feb,6-May,12-Jul,13-,14-15,16-18,19-,20+
107,SS,SS,Randy Johnson '95,Mariners,520,2002,5,6,Starter,Starter,,L,,-,2-Jan,11-Mar,14-Dec,15-16,17-19,20-27,-,-,-
108,SS,SS,Mike Piazza '97,Dodgers,500,2002,13,16,C+6,C+6,,R,,-,2-Jan,3-,7-Apr,11-Aug,15-Dec,-,16-17,-,18+
109,SS,SS,John Smoltz '96,Braves,420,2002,4,7,Starter,Starter,,R,,3-Jan,10-Apr,14-Nov,15-17,-,18-19,-,20-24,-,24+
110,SS,SS,Edgar Martinez '95,Mariners,660,2002,15,12,3B+0,3B+0,,R,,4-Jan,6-May,7-,12-Aug,13-15,-,16-19,-,20+,21+
111,SS,SS,Larry Walker '97,Rockies,730,2002,14,18,LF-RF+3,LF-RF+3,,L,,-,3-Jan,4-,7-May,11-Aug,14-Dec,-,15-17,-,18+
112,SS,SS,Pedro Martinez '97,Expos,830,2002,6,7,Starter,Starter,,R,,2-Jan,11-Mar,14-Dec,15-17,18-,19-24,-,-,-,27+
113,SS,SS,Sammy Sosa '98,Cubs,610,2002,13,15,LF-RF+1,LF-RF+1,,R,,6-Jan,-,7-,12-Aug,13-15,-,16-,-,17+,21+
114,SS,SS,Roberto Alomar '93,Blue Jays,560,2002,14,23,2B+6,2B+6,,S,,2-Jan,5-Mar,7-Jun,12-Aug,13-14,15-,16-19,-,20+,23+
115,SS,SS,Curt Schilling '98,Phillies,390,2002,5,8,Starter,Starter,,R,,-,2-Jan,10-Mar,13-Nov,14-15,16-,17-19,-,20-23,-
116,SS,SS,Chuck Knoblauch '97,Twins,370,2002,12,22,2B+6,2B+6,,R,,-,2-Jan,5-Mar,7-Jun,11-Aug,14-Dec,15-16,17-19,20-,21+
117,SS,SS,Frank Thomas '94,White Sox,810,2002,15,12,1B+1,1B+1,,R,,3-Jan,5-Apr,7-Jun,14-Aug,15-,-,16-17,-,18+,27+
118,SS,SS,Jeff Kent '98,Giants,400,2002,12,12,2B+4,2B+4,,R,,-,5-Jan,6-,7-,10-Aug,15-Nov,16-,17-18,-,19+
119,SS,SS,Kenny Lofton '93,Indians,410,2002,13,25,CF+4,CF+4,,L,,-,3-Jan,5-Apr,7-Jun,11-Aug,12-,13-16,17-,18-24,25+
120,SS,SS,Ken Griffey Jr. '97,Mariners,540,2002,13,15,CF+4,CF+4,,L,,4-Jan,5-,7-Jun,12-Aug,13-14,15-,16-,-,17+,21+
121,SS,SS,Trevor Hoffman '98,Padres,350,2002,6,1,Closer,Closer,,L,,-,3-Jan,10-Apr,12-Nov,13-17,18-,19-27,-,-,-
122,SS,SS,Mo Vaughn '95,Red Sox,410,2002,12,12,1B+1,1B+1,,L,,-,5-Jan,-,7-Jun,11-Aug,15-Dec,-,16-17,-,18+
123,SS,SS,Robin Ventura '96,White Sox,490,2002,13,11,3B+4,3B+4,,R,,-,2-Jan,4-Mar,7-May,11-Aug,14-Dec,-,15-18,-,19+
124,SS,SS,Ellis Burks '96,Rockies,500,2002,13,18,CF+3,CF+3,,R,,3-Jan,6-Apr,7-,11-Aug,14-Dec,-,15-17,18-,19+,27+
125,SS,SS,Tim Raines '83,Expos,390,2002,12,24,LF-RF+2,LF-RF+2,,S,,-,1-,3-Feb,6-Apr,12-Jul,13-14,15-17,18-,19-20,21+
1,TD,TD,Jason Giambi,Yankees,530,2002,14,12,1B+0,1B+0,,L,,-,2-Jan,4-Mar,6-May,12-Jul,13-16,-,17-18,-,19+
2,TD,TD,Chris Singleton,Orioles,190,2002,10,19,OF+2,OF+2,,L,,-,1-,4-Feb,7-May,8-,16-Sep,17-,18-19,20-21,22+
3,TD,TD,Ben Davis,Mariners,130,2002,10,11,C+6,C+6,,S,,3-Jan,5-Apr,6-,12-Jul,13-18,-,19-,-,20+,27+
4,TD,TD,Tsuyoshi Shinjo,Giants,170,2002,9,13,OF+2,OF+2,,R,,-,3-Jan,5-Apr,6-,9-Jul,17-Oct,-,18-19,-,20+
5,TD,TD,Brian Jordan,Dodgers,200,2002,10,14,LF-RF+2,LF-RF+2,,R,,-,1-,3-Feb,6-Apr,8-Jul,16-Sep,-,17-18,-,19+
6,TD,TD,Tony Clark,Red Sox,230,2002,11,12,1B+0,1B+0,,S,,3-Jan,6-Apr,-,9-Jul,16-Oct,-,17-19,-,20+,21+
7,TD,TD,Moises Alou,Cubs,380,2002,12,13,LF-RF+1,LF-RF+1,,R,,-,-,4-Jan,6-May,9-Jul,16-Oct,-,17-,-,18+
8,TD,TD,Todd Walker,Reds,160,2002,11,12,2B+1,2B+1,,L,,-,1-,4-Feb,7-May,11-Aug,17-Dec,-,18-19,-,20+
9,TD,TD,Ricky Gutierrez,Indians,170,2002,11,15,SS+1,SS+1,,R,,-,-,6-Jan,7-,11-Aug,18-Dec,-,19-,-,20+
10,TD,TD,Brad Fullmer,Angels,140,2002,10,14,---,---,,L,,1-,3-Feb,7-Apr,9-Aug,16-Oct,-,17-18,-,19+,27+
11,TD,TD,Jeromy Burnitz,Mets,220,2002,10,13,LF-RF+1,LF-RF+1,,L,,-,4-Jan,5-,6-,12-Jul,13-15,-,16-17,-,18+
12,TD,TD,Gary Sheffield,Braves,420,2002,12,15,LF-RF+1,LF-RF+1,,R,,1-,3-Feb,6-Apr,11-Jul,16-Dec,-,17-,-,18+,21+
13,TD,TD,Marty Cordova,Orioles,220,2002,11,12,LF-RF+2,LF-RF+2,,R,,3-Jan,5-Apr,7-Jun,9-Aug,16-Oct,-,17-18,-,19+,21+
14,TD,TD,Todd Zeile,Rockies,120,2002,11,11,1B+1,1B+1,,R,,-,2-Jan,4-Mar,7-May,11-Aug,18-Dec,-,19-20,-,21+
15,TD,TD,Alex Gonzalez,Cubs,110,2002,9,12,SS+1,SS+1,,R,,-,2-Jan,4-Mar,6-May,8-Jul,15-Sep,-,16-19,-,20+
16,TD,TD,Kenny Lofton,White Sox,190,2002,10,20,CF+1 LF-RF+0,CF+1 ,LF-RF+0,L,,-,3-Jan,7-Apr,10-Aug,16-Nov,17-,18-,19-,20+,27+
